"a_Name","City","State","Region","Profit_Status_","Year","Total_Revenue","Net_Income","Net_Patient_Revenue","Total_Operating_Expense","Operating_Income","Interest_Expense","Bad_Debt","Total_Assets","Total_Liabilities","Net_Assets_Equity","LongTerm_Liabilities","Current_Assets","Current_Liabilities","Net_Patient_Accounts_Receivable","Total_Operating_Revenue","Cash_and_Cash_Equivalents","Depreciation_and_Amortization","EBITDA_EBIDA","Audited_by"
"Children's Hospital of Philadelphia (The) (PA)","Philadelphia","PA","Northeast","Not-For-Profit","2012","1927841000","138767000","1604716000","1789074000","111457000","22921000","68879000","3935198000","1422257000","2512941000","1110955000","639691000","311302000","245185000","1900531000","","","",""
"Children's Mercy Hospital (MO)","Kansas","MO","Midwest","Not-For-Profit","2017","1327814000","48864000","1123408000","1280950000","25480000","10056000","59814000","1751202000","431271000","1319931000","298694000","313651000","132577000","174876000","1306430000","85119000","59709000","95245000",""
"Children's Mercy Hospital (MO)","Kansas","MO","Midwest","Not-For-Profit","2016","1218566000","48915000","1026943000","1169651000","26587000","13365000","29961000","1622353000","407988000","1214365000","264799000","299440000","143189000","188176000","1191381000","65525000","56352000","96304000","KPMG"
"Children's Mercy Hospital (MO)","Kansas","MO","Midwest","Not-For-Profit","2015","1145099000","100240000","955661000","1044859000","68809000","13444000","54834000","1594632000","417964000","1176668000","263110000","314856000","154854000","169628000","1113668000","102856000","53257000","135510000","KPMG"
"Children's Mercy Hospital (MO)","Kansas","MO","Midwest","Not-For-Profit","2014","1029526000","63482000","874915000","966044000","42413000","13830000","26993000","1510456000","413802000","1096654000","271945000","351564000","141857000","141908000","1008457000","","","",""
"Children's Mercy Hospital (MO)","Kansas","MO","Midwest","Not-For-Profit","2013","941170000","49544000","784989000","891626000","21668000","9731000","22381000","1365257000","381115000","984142000","263086000","384867000","118029000","128878000","913294000","","","",""
"Children's Mercy Hospital (MO)","Kansas","MO","Midwest","Not-For-Profit","2012","1090479000","81960000","712645000","1008519000","95381000","14563000","19207000","1282172000","374130000","908042000","258838000","333996000","115292000","110439000","1103900000","","","",""
"Children's Mercy Hospital (MO)","Kansas","MO","Midwest","Not-For-Profit","2011","1163578000","39667000","663274000","1123911000","25911000","15844000","15069000","1270454000","440060000","830394000","297781000","388106000","142279000","102862000","1149822000","","","",""
"Christ Hospital Health Network (The) (OH)","Cincinnati","OH","Midwest","Not-For-Profit","2017","946983000","14401000","883399000","932582000","-2879000","18026000","20688","1189848000","632783000","557065000","519614000","210727000","113169000","117071000","929703000","46620000","53560000","68707000",""
"Christ Hospital Health Network (The) (OH)","Cincinnati","OH","Midwest","Not-For-Profit","2016","905711000","35565000","841029000","870146000","23990000","15293000","17685000","1188033000","651669000","536364000","556357000","229112000","95312000","122008000","894136000","56059000","51399000","90682000","Ernst & Young LLP"
"Christ Hospital Health Network (The) (OH)","Cincinnati","OH","Midwest","Not-For-Profit","2015","836936000","40727000","787240000","796209000","36199000","10831000","16973000","1112344000","563185000","549159000","467270000","217848000","95915000","99703000","832408000","73435000","39076000","86106000","Ernst & Young LLP"
"Christ Hospital Health Network (The) (OH)","Cincinnati","OH","Midwest","Not-For-Profit","2014","813085000","38137000","751504000","774948000","26921000","11641000","16288000","1041872000","553748000","488124000","450934000","185673000","102814000","95450000","801869000","50303000","39532000","78094000","Ernst & Young LLP"
"Christ Hospital Health Network (The) (OH)","Cincinnati","OH","Midwest","Not-For-Profit","2013","758829000","16627000","708715000","742202000","19305000","12871000","15716000","963763000","533968000","429795000","461657000","158024000","72311000","91271000","761507000","","","",""
"Christ Hospital Health Network (The) (OH)","Cincinnati","OH","Midwest","Not-For-Profit","2012","681554000","17475000","643097000","664079000","16900000","2207000","10863000","934342000","565321000","369021000","506103000","206560000","59218000","80574000","680979000","","","",""
"Christ Hospital Health Network (The) (OH)","Cincinnati","OH","Midwest","Not-For-Profit","2011","627927000","6056000","601956000","621871000","4673000","1743000","17623000","620445000","308829000","311616000","192080000","194108000","116749000","78229000","626544000","","","",""
"Christiana Care Health Services (DE)","Wilmington","DE","South","Not-For-Profit","2017","1985192546","282822161","1764115109","1702370385","129953971","4329815","48439495","2948657525","617842800","2330814725","203446089","562414557","414396711","239035873","1832324356","75572361","96131848","230415634",""
"Christiana Care Health Services (DE)","Wilmington","DE","South","Not-For-Profit","2016","1763821415","133157352","1699576678","1630664063","137876119","4014297","47771949","2715707910","754343684","1961364226","360579253","581957992","393764431","233708969","1768540182","109593677","95212295","237102711","PWC"
"Christiana Care Health Services (DE)","Wilmington","DE","South","Not-For-Profit","2015","1703948336","167697565","1587494204","1536250771","120864744","2760031","42420808","2668831770","735604417","1933227353","340553715","509172370","395050702","212627312","1657115515","66717179","87635902","211260677","PWC"
"Christiana Care Health Services (DE)","Wilmington","DE","South","Not-For-Profit","2014","1694371218","234024661","1484092106","1460346557","96560345","1601446","34634077","2526006169","730988539","1795017630","347387823","541793157","383600716","232678766","1556906902","82836575","81494575","179656366","PWC"
"Christiana Care Health Services (DE)","Wilmington","DE","South","Not-For-Profit","2013","1535711056","184505967","1369139882","1351205089","89653816","1600900","33578794","2362650023","818428506","1544221517","434272016","549315009","384156490","245119966","1440858905","83019942","75640790","166895506",""
"Christiana Care Health Services (DE)","Wilmington","DE","South","Not-For-Profit","2012","1400371869","107956833","1308275952","1292415036","90283195","1865041","31482070","2155699907","865070129","1290629778","486044603","529119168","379025526","186691707","1382698231","","","",""
"Christiana Care Health Services (DE)","Wilmington","DE","South","Not-For-Profit","2011","1443470304","211449491","1236022328","1232020813","88862847","2106458","28721579","2029179053","737894579","1291284474","367063089","516986137","370831490","161776520","1320883660","","","",""
"CHRISTUS Health (TX)","Irving","TX","South","Not-For-Profit","2017","5014293000","173104000","4385122000","4841189000","81240000","37167000","459803000","5736383000","2559924000","3176459000","1631242000","2094388000","928682000","505480000","4922429000","528259000","215039000","333446000",""
"CHRISTUS Health (TX)","Irving","TX","South","Not-For-Profit","2016","4140025000","227542000","3317880000","3912483000","299930000","20990000","267631000","5220521000","2288814000","2931707000","1529157000","1925843000","759657000","456609000","4212413000","483664000","196986000","517906000","Ernst & Young LLP"
"CHRISTUS Health (TX)","Irving","TX","South","Not-For-Profit","2015","3579718000","35850000","3233738000","3543868000","55844000","23169000","180953000","4535951000","1753975000","2781976000","1122781000","1875796000","631194000","365943000","3599712000","349688000","164695000","243708000","Ernst & Young LLP"
"CHRISTUS Health (TX)","Irving","TX","South","Not-For-Profit","2014","3632431000","143102000","3138736000","3489329000","62302000","31430000","249517000","4593697000","1816513000","2777184000","1191527000","2042192000","624986000","358691000","3551631000","452854000","165461000","259193000",""
"CHRISTUS Health (TX)","Irving","TX","South","Not-For-Profit","2013","3787899000","159679000","3224163000","3628220000","73052000","33697000","239406000","4696899000","2089533000","2607366000","1409615000","2099491000","679918000","357904000","3701272000","282389000","271965000","378714000",""
"CHRISTUS Health (TX)","Irving","TX","South","Not-For-Profit","2012","3500582000","-41395000","3212259000","3541977000","54059000","42166000","205518000","4608201000","2302763000","2305438000","1635318000","1579371000","667445000","334971000","3596036000","","","",""
"CHRISTUS Health (TX)","Irving","TX","South","Not-For-Profit","2011","3877303000","196050000","3237980000","3681253000","99700000","42803000","172703000","4670169000","2220129000","2450040000","1544258000","1683352000","675871000","313652000","3780953000","","","",""
"Cincinnati Children's Hospital Medical Center (OH)","Cincinnati","OH","Midwest","Not-For-Profit","2017","","181180000","1587798000","2139128000","","27032000","14763000","5201205000","1338234000","3862971000","1048657000","1519185000","289577000","346748000","2320308000","143004000","127399000","335611000",""
"Cincinnati Children's Hospital Medical Center (OH)","Cincinnati","OH","Midwest","Not-For-Profit","2016","2310637000","213486000","1597867000","2097151000","188017000","24883000","13703000","4017213000","1464554000","2552659000","1186458000","1395573000","278096000","353783000","2285168000","148913000","124595000","337495000","Deloitte & Touche LLP"
"Cincinnati Children's Hospital Medical Center (OH)","Cincinnati","OH","Midwest","Not-For-Profit","2015","2206470000","209624000","1527936000","1996846000","200493000","19425000","19195000","3905799000","1386449000","2519350000","1003785000","1326367000","382664000","317831000","2197339000","125267000","110352000","330270000","Deloitte & Touche LLP"
"Cincinnati Children's Hospital Medical Center (OH)","Cincinnati","OH","Midwest","Not-For-Profit","2014","2120240000","172400000","1435526000","1947840000","158260000","14170000","26142000","3415523000","1006447000","2409076000","674171000","1019213000","332276000","288806000","2106100000","156830000","109214000","281644000","Deloitte & Touche LLP"
"Cincinnati Children's Hospital Medical Center (OH)","Cincinnati","OH","Midwest","Not-For-Profit","2013","1931505000","152820000","1332851000","1778685000","143337000","14247000","20802000","3014072000","1047967000","1966105000","781081000","865211000","266886000","223850000","1922022000","249190000","110378000","267962000",""
"Cincinnati Children's Hospital Medical Center (OH)","Cincinnati","OH","Midwest","Not-For-Profit","2012","1810803000","128748000","1245557000","1682055000","128748000","15926000","40935000","2632831000","1156496000","1476335000","909042000","769524000","247454000","214355000","1810803000","","","",""
"Cincinnati Children's Hospital Medical Center (OH)","Cincinnati","OH","Midwest","Not-For-Profit","2011","1693408000","53373000","1144142000","1640035000","53373000","16104000","","2468440000","934585000","1533855000","726510000","651696000","208075000","204081000","1693408000","","","",""
"Circle Health, Inc (MA)","Lowell","MA","Northeast","Not-For-Profit","2017","511505000","-5718000","494396000","517223000","-7719000","8571000","14780000","539490000","368960000","170530000","249153000","137864000","119807000","64655000","509504000","46975000","25775000","26627000",""
"Circle Health, Inc (MA)","Lowell","MA","Northeast","Not-For-Profit","2016","475051000","1892000","462978000","473159000","3727000","8315000","15144000","506834000","344227000","162607000","248398000","135100000","95829000","51515000","476886000","55032000","23669000","35711000",""
"Circle Health, Inc (MA)","Lowell","MA","Northeast","Not-For-Profit","2015","462504975","2900841","453799777","459604134","5764747","8410966","14395117","492370171","333145798","159224373","232343444","168632127","100802354","48258007","465368881","49940577","24123025","38298738",""
"Circle Health, Inc (MA)","Lowell","MA","Northeast","Not-For-Profit","2014","459825981","10216899","437680630","449609082","-963862","8500640","13763937","499869674","331649201","168220473","224225790","172135733","107423411","50456322","448645220","53657298","23973422","31510200",""
"Circle Health, Inc (MA)","Lowell","MA","Northeast","Not-For-Profit","2013","432151659","-6289121","416049063","438440780","-7425860","6896299","15123649","504120084","333705817","170414267","225114390","180099263","108591427","54029433","431014920","","","",""
"Circle Health, Inc (MA)","Lowell","MA","Northeast","Not-For-Profit","2012","345674379","27981699","314445444","317692680","8469133","2195698","9258436","465991437","329381758","136609679","224706359","154623360","104675399","45754958","326161813","","","",""
"City of Hope (CA)","Duarte","CA","West","Not-For-Profit","2017","2208937000","436662000","1186167000","1772275000","","","","4383818000","1048388000","3335430000","782786000","1814514000","265602000","245192000","2099898000","212067000","","",""
"City of Hope (CA)","Duarte","CA","West","Not-For-Profit","2016","1901594000","403157000","1119808000","1489543000","","","","3865758000","1013409000","2852349000","701278000","1573174000","312131000","243508000","1892700000","121460000","95094000","",""
"City of Hope (CA)","Duarte","CA","West","Not-For-Profit","2015","","","","","","","","3386111000","936919000","2449192000","702796000","1246232000","234123000","206151000","","133293000","81609000","",""
"City of Hope (CA)","Duarte","CA","West","Not-For-Profit","2014","1428151000","293505000","798188000","1134646000","115129000","30980000","7699000","3244081000","926809000","2317272000","702294000","1073025000","224515000","181568000","1249775000","126607000","68795000","214904000",""
"City of Hope (CA)","Duarte","CA","West","Not-For-Profit","2013","1391771000","323516000","777694000","1068255000","323516000","13936000","6471000","2900944000","877177000","2023767000","662235000","918700000","214942000","164038000","1391771000","129384000","58937000","396389000",""
"City of Hope (CA)","Duarte","CA","West","Not-For-Profit","2012","1283042000","265998000","737359000","1017044000","265998000","12516000","6377000","2154012000","453761000","1700251000","295451000","759866000","158310000","130961000","1283042000","","","",""
"City of Hope (CA)","Duarte","CA","West","Not-For-Profit","2011","958236000","57108000","602884000","901128000","57108000","12542000","3572000","1900152000","465899000","1434253000","294674000","623887000","171225000","113265000","958236000","","","",""
"Cleveland Clinic Health System (OH)","Cleveland","OH","Midwest","Not-For-Profit","2017","9226758000","1150314000","7498082000","7442889000","330558000","140824000","296469000","15866339000","6522886000","9343453000","4204004000","1783827000","2318882000","1012903000","8407002000","241227000","487240000","964113000",""
"Cleveland Clinic Health System (OH)","Cleveland","OH","Midwest","Not-For-Profit","2016","8385744000","513507000","7249372000","7259827000","164970000","136105000","301694000","14461330000","6435531000","8025799000","4559196000","2028817000","1876335000","1059171000","8037207000","520628000","476305000","777380000","Ernst & Young LLP"
"Cleveland Clinic Health System (OH)","Cleveland","OH","Midwest","Not-For-Profit","2015","7254039000","618218000","6481179000","6102227000","521151000","124141000","231304000","13601426000","6092428000","7508998000","4302213000","1661875000","1790215000","950304000","7156972000","249580000","409453000","1054745000","Ernst & Young LLP"
"Cleveland Clinic Health System (OH)","Cleveland","OH","Midwest","Not-For-Profit","2014","6923458000","703622000","6070117000","5721460000","467543000","110393000","358821000","12267560000","5465065000","6802495000","4013184000","1366309000","1451881000","819074000","6687379000","70322000","387983000","965919000","Ernst & Young LLP"
"Cleveland Clinic Health System (OH)","Cleveland","OH","Midwest","Not-For-Profit","2013","7056263000","900099000","5873582000","5696375000","400687000","106692000","410945000","10951799000","4743393000","6208406000","3239953000","1284764000","1503440000","779676000","6450159000","70900000","353097000","753784000",""
"Cleveland Clinic Health System (OH)","Cleveland","OH","Midwest","Not-For-Profit","2012","6164611000","613681000","5609926000","5550930000","636207000","104722000","378453000","10205403000","5203023000","5002380000","3658121000","1361319000","1544902000","752948000","6187137000","","","",""
"Cleveland Clinic Health System (OH)","Cleveland","OH","Midwest","Not-For-Profit","2011","5273050000","209222000","5212524000","5063828000","762739000","1749118","350453000","9167945000","4807358000","4360587000","3299394000","1159842000","1507964000","656169000","5826567000","","92706000","",""
"CMC (Catholic Medical Center ) Healthcare System (NH)","Manchester","NH","Northeast","Not-For-Profit","2017","418259941","55437942","389162114","362821999","51609327","2208655","","408738512","270420454","138318058","205164706","153541183","65255748","44110187","414431326","69044881","13088739","66447184",""
"CMC (Catholic Medical Center ) Healthcare System (NH)","Manchester","NH","Northeast","Not-For-Profit","2016","377223956","43385472","355008107","333838484","44118010","2717561","","360153406","276971971","83181435","221552037","130845778","55419934","49548515","377956494","43996653","12441142","58767807",""
"CMC (Catholic Medical Center ) Healthcare System (NH)","Manchester","NH","Northeast","Not-For-Profit","2015","332218276","28639702","316580493","303578574","25608258","10953213","22761992","342547513","227560779","114986734","172402894","114319884","55157885","39747323","329186832","40498040","11770922","39279032",""
"CMC (Catholic Medical Center ) Healthcare System (NH)","Manchester","NH","Northeast","Not-For-Profit","2014","338549378","19201677","313382239","319347701","12960718","3887160","24345766","338830643","200764312","138066331","152570652","118327007","48193660","30310791","332308419","54632046","11045450","27893328",""
"CMC (Catholic Medical Center ) Healthcare System (NH)","Manchester","NH","Northeast","Not-For-Profit","2013","317493209","19576917","298890289","297916292","15806629","3716787","27591885","321760509","211096599","110663910","166398583","117788267","44698016","27265062","313722921","","","",""
"CMC (Catholic Medical Center ) Healthcare System (NH)","Manchester","NH","Northeast","Not-For-Profit","2012","298256832","23074054","284416129","275182778","20870189","2765357","","279981217","219126053","60855164","174607904","99194317","44518149","30745571","296052967","","","",""
"CMC (Catholic Medical Center ) Healthcare System (NH)","Manchester","NH","Northeast","Not-For-Profit","2011","311216463","5614108","281406263","305602355","719717","3406270","","293511410","178400061","115111349","131035070","95619469","47364991","33090693","306322072","","","",""
"Columbus Regional Healthcare System (GA)","Columbus","GA","South","Not-For-Profit","2017","403139689","-12818278","395364461","415957967","14684340","15524151","60219439","519532524","371006476","148526048","313272987","97070031","57733489","51982283","430642307","2568441","21777484","51985975",""
"Columbus Regional Healthcare System (GA)","Columbus","GA","South","Not-For-Profit","2016","450065535","23826750","393568617","426238785","9134954","16607137","67691077","544755410","385186266","159569144","319755667","117161110","65430599","62166235","435373739","20403294","25164263","50906354",""
"Columbus Regional Healthcare System (GA)","Columbus","GA","South","Not-For-Profit","2015","410711063","-59126777","385182692","469440497","-38542180","17247559","45109007","552693034","427145145","125547889","348293830","96046628","78851315","58376111","430898317","0","30707200","9412579",""
"Columbus Regional Healthcare System (GA)","Columbus","GA","South","Not-For-Profit","2014","403527364","-61654381","362435625","464931401","-49363646","15261770","59164286","603319919","412549440","190770479","336809249","99979104","75740191","60574571","415567755","0","29693442","-4408434",""
"Columbus Regional Healthcare System (GA)","Columbus","GA","South","Not-For-Profit","2013","442044021","-984465","407205050","441644749","-17453470","13301616","39136066","637728543","388119900","249608643","330969694","131373353","57150206","70576497","424191279","","","",""
"Columbus Regional Healthcare System (GA)","Columbus","GA","South","Not-For-Profit","2012","451249405","13214788","428217435","438034617","6240428","14090564","43071673","627166548","409927730","217238818","361969131","136266343","47958599","75179021","444275045","","","",""
"Columbus Regional Healthcare System (GA)","Columbus","GA","South","Not-For-Profit","2011","455580911","8224048","434688423","445956325","3766680","13374400","34670805","616474874","389140434","227334440","340062774","124078641","49077660","82141579","449723005","","","",""
"Columbus Regional Hospital (IN)","Columbus","IN","Midwest","Not-For-Profit","2015","325621115","9101785","342634812","316519330","28762096","1327695","11565884","418332698","128031981","290300717","70111584","100181083","57920397","37019543","345281426","43623758","16977150","45739246","BKD"
"Columbus Regional Hospital (IN)","Columbus","IN","Midwest","Not-For-Profit","2014","345804350","29920010","342757719","315884340","31332889","1905333","14244756","423833691","136938254","286895437","81228703","113809330","55709551","34796270","347217229","48354257","16878263","48211152","Ernst & Young LLP"
"Columbus Regional Hospital (IN)","Columbus","IN","Midwest","Not-For-Profit","2013","266972062","4546439","257256907","262425623","628650","2108811","9323324","355473482","98498055","256975427","50731838","84917131","47766217","30653335","263054273","36433810","18278163","18906813","Ernst & Young LLP"
"Columbus Regional Hospital (IN)","Columbus","IN","Midwest","Not-For-Profit","2012","241117009","16400680","226474486","224716329","8330062","2364415","14559326","346137043","96323031","249814012","52271089","75535892","44051942","33781444","233046391","","","",""
"Columbus Regional Hospital (IN)","Columbus","IN","Midwest","Not-For-Profit","2011","193308748","6045828","191744749","187262920","8140083","2709169","13477433","331609111","91888242","239720869","55455389","65316416","36432853","24652315","195403003","","","",""
"Comanche County Memorial Hospital (OK)","Lawton","OK","South","Not-For-Profit","2017","269875978","2291797","261135663","267584181","2790014","3052963","51174070","236816999","157288453","79528546","112790152","76051064","44498301","38150325","270374195","19170747","13316401","19159378",""
"Comanche County Memorial Hospital (OK)","Lawton","OK","South","Not-For-Profit","2016","256151153","-2703737","246126775","258854890","-1515825","3174351","46098095","235376639","158227285","77149354","109637449","70991448","48589836","37366573","257339065","16162298","12747765","14406291",""
"Comanche County Memorial Hospital (OK)","Lawton","OK","South","Not-For-Profit","2015","253271220","-571552","245510913","253842772","1891987","4088928","49532239","242301003","160898090","81402913","113427199","73331349","47470891","40780876","255734759","15355161","12742074","18722989",""
"Comanche County Memorial Hospital (OK)","Lawton","OK","South","Not-For-Profit","2014","242052908","1413365","237426810","240639543","4440403","3604064","44335520","230501799","136684258","93817541","85669437","75213138","51014821","40073955","245079946","18843520","11711994","19756461",""
"Comanche County Memorial Hospital (OK)","Lawton","OK","South","Not-For-Profit","2013","223654238","8149129","222452257","215505109","11211902","3823261","","206601874","123260783","83341091","72966493","70698001","50294290","38685750","226717011","","","",""
"Comanche County Memorial Hospital (OK)","Lawton","OK","South","Not-For-Profit","2012","208785797","6613920","207787942","202171877","9528099","3746154","","197232150","122117552","75114598","82036074","70735234","40081478","28164872","211699976","","","",""
"Comanche County Memorial Hospital (OK)","Lawton","OK","South","Not-For-Profit","2011","201010215","4598372","199959884","196411843","7616350","3943978","","181136585","112710943","68425642","75109691","67246269","37601252","28292528","204028193","","","",""
"Commonwealth Health Corporation (KY)","Bowling Green","KY","South","Not-For-Profit","2014","384499548","42731353","343024312","341768195","32401565","5154469","27210056","483510195","215233777","268276418","161293379","93063043","53940398","47853165","374169760","24410046","16485520","54041554",""
"Commonwealth Health Corporation (KY)","Bowling Green","KY","South","Not-For-Profit","2013","370499968","33733278","333170178","336766690","28590860","4739673","25143323","456199648","236369952","219829696","178451173","92857056","57918779","44837915","365357550","19830364","16566997","49897530",""
"Commonwealth Health Corporation (KY)","Bowling Green","KY","South","Not-For-Profit","2012","341887034","24543778","319267001","317343256","25616941","5080712","20437721","399322751","214811696","184511055","166920608","85870362","47891088","44355002","342960197","18485344","14893665","45591318",""
"Community Health Network (IN)","Indianapolis","IN","Midwest","Not-For-Profit","2017","2423667000","250671000","2235108000","2166877000","139300000","26730000","131541000","2630118000","1092850000","1537268000","764510000","753220000","328340000","298866000","2306177000","297056000","92547000","258577000",""
"Community Health Network (IN)","Indianapolis","IN","Midwest","Not-For-Profit","2016","2218153000","-82211000","2073006000","2292551000","-123186000","29108000","107243000","2412243000","1108344000","1303899000","783444000","722316000","324900000","263248000","2169365000","259298000","86762000","-7316000",""
"Community Health Network (IN)","Indianapolis","IN","Midwest","Not-For-Profit","2015","2040685000","135238000","1966024000","1900682000","175829000","24827000","137873000","2315074000","1165058000","1150016000","803466000","668465000","361592000","273688000","2076511000","260270000","84672000","285328000","PWC"
"Community Health Network (IN)","Indianapolis","IN","Midwest","Not-For-Profit","2014","1959981000","172666000","1815892000","1780146000","161923000","20751000","172862000","2163868000","1123405000","1040463000","854124000","573350000","269281000","221895000","1942069000","230672000","82155000","264829000","PWC"
"Community Health Network (IN)","Indianapolis","IN","Midwest","Not-For-Profit","2013","1823700000","107016000","1673572000","1709220000","54149000","20062000","86538000","2144417000","1103034000","1041383000","761891000","624021000","341143000","204734000","1763369000","253514000","81045000","155256000",""
"Community Health Network (IN)","Indianapolis","IN","Midwest","Not-For-Profit","2012","1820836000","201692000","1578452000","1619144000","47687000","14562000","76269000","2004267000","1141977000","862290000","861076000","592332000","280901000","228127000","1666831000","","","",""
"Community Health Network (IN)","Indianapolis","IN","Midwest","Not-For-Profit","2011","1376979000","93914000","1260198000","1283065000","75674000","13202000","72765000","1597278000","860855000","736423000","594935000","438581000","265920000","185422000","1358739000","","","",""
"Community Health Systems (TN)","Franklin","TN","South","For-Profit","2017","15353000000","-2396000000","15353000000","17231000000","-1878000000","931000000","3045000000","17450000000","17615000000","-692000000","15259000000","4068000000","2356000000","2384000000","15353000000","563000000","861000000","-1017000000",""
"Community Health Systems (TN)","Franklin","TN","South","For-Profit","2016","17568000000","-1626000000","18438000000","19298000000","-860000000","962000000","2837000000","21944000000","20216000000","1728000000","17329000000","4666000000","2887000000","3176000000","18438000000","238000000","1100000000","240000000",""
"Community Health Systems (TN)","Franklin","TN","South","For-Profit","2015","18475000000","259000000","19437000000","18100000000","1337000000","973000000","3127000000","26595000000","22490000000","4105000000","19418000000","5166000000","3072000000","3611000000","19437000000","184000000","1172000000","2509000000","Deloitte & Touche LLP"
"Community Health Systems (TN)","Franklin","TN","South","For-Profit","2014","17585000000","203000000","18639000000","17300000000","1339000000","972000000","2922000000","27421000000","23338000000","4083000000","19749000000","5566000000","3589000000","3409000000","18639000000","509000000","1106000000","2445000000","Deloitte & Touche LLP"
"Community Health Systems (TN)","Franklin","TN","South","For-Profit","2013","12211000000","217000000","12819000000","11890000000","929000000","616000000","2034000000","17117295000","13985000000","3132295000","11527000000","3747963000","2458000000","2323000000","12819000000","373000000","771000000","1700000000",""
"Community Health Systems (TN)","Franklin","TN","South","For-Profit","2012","12164664000","345803000","13028985000","11818861000","1210124000","622933000","1959194000","16606335000","13442148000","2796521000","11298928000","3419142000","2143220000","2067379000","13028985000","","","",""
"Community Health Systems (TN)","Franklin","TN","South","For-Profit","2011","11049350000","277623000","11906212000","10771727000","1134485000","2658694","1719956000","15208840000","12348652000","2464445000","10437513000","2846089000","1911139000","1834167000","11906212000","","","",""
"Community Hospital Foundation (CA)","Monterey","CA","West","Not-For-Profit","2013","480243000","27711000","423893000","452532000","22752000","4681000","24223000","1012185000","368961000","643224000","292172000","172348000","76789000","71133000","475284000","","","",""
"Community Hospital Foundation (CA)","Monterey","CA","West","Not-For-Profit","2012","441301000","39447000","400183000","401854000","29454000","5726000","30580000","922684000","438275000","484409000","367168000","170190000","71107000","67265000","431308000","","","",""
"Community Hospital Foundation (CA)","Monterey","CA","West","Not-For-Profit","2011","432366000","28798000","391699000","403568000","26106000","5869000","30960000","836558000","361140000","475418000","313748000","130216000","47392000","71344000","429674000","","","",""
"Community Memorial Health System (CA)","Ventura","CA","West","Not-For-Profit","2017","420752179","25536935","359953665","395121922","11036314","211693","6667074","885592402","434149032","451443370","345752499","283175724","88396533","54786965","406158236","26269935","12837399","24085406",""
"Community Memorial Health System (CA)","Ventura","CA","West","Not-For-Profit","2016","402682545","36809196","341039442","365634301","28528441","372881","12823555","852597685","431221216","421376469","353469254","276350329","77751962","59315472","394162742","28647653","11974844","40876166",""
"Community Memorial Health System (CA)","Ventura","CA","West","Not-For-Profit","2015","371536191","29493699","356005655","342042492","31362314","256540","13963730","813346106","431833020","381513086","366944449","271898758","64888571","59044522","373404806","31311334","12249400","43868254","Ernst & Young LLP"
"Community Memorial Health System (CA)","Ventura","CA","West","Not-For-Profit","2014","356940890","35474851","335818276","321466039","31685377","311983","13505028","799896422","451700795","348195627","376242296","273596957","75458499","55850716","353151416","31279975","12056985","44054345","Ernst & Young LLP"
"Community Memorial Health System (CA)","Ventura","CA","West","Not-For-Profit","2013","335374063","30042400","304465205","305331663","18195039","403562","13692937","733314057","421184944","312129113","374783239","218296504","46401705","50548865","323526702","","","",""
"Community Memorial Health System (CA)","Ventura","CA","West","Not-For-Profit","2012","337351855","36884291","310194593","300467564","29007509","416240","12077613","701728786","421575384","280153402","377959565","198888762","43615819","48377423","329475073","","","",""
"Community Memorial Health System (CA)","Ventura","CA","West","Not-For-Profit","2011","298790608","12740631","282599300","286049977","11569830","480908","7090084","668463282","429069668","239393614","389438949","155384449","39630719","54897540","297619807","","","",""
"Concord Hospital (NH)","Concord","NH","Northeast","Not-For-Profit","2017","493682000","35388000","448329000","458294000","23293000","2918000","20018000","611797000","238447000","373350000","137037000","70961000","101410000","51344000","481587000","3799000","24378000","50589000",""
"Concord Hospital (NH)","Concord","NH","Northeast","Not-For-Profit","2016","475488000","42967000","417710000","432521000","15219000","3700000","17251000","567187000","269079000","298108000","184657000","85052000","84422000","52693000","447740000","6555000","24535000","43454000",""
"Concord Hospital (NH)","Concord","NH","Northeast","Not-For-Profit","2015","462067000","26300000","421733000","435767000","14710000","3974000","16839000","540274000","257589000","282685000","175733000","78247000","81856000","55104000","450477000","8096000","24437000","43121000",""
"Concord Hospital (NH)","Concord","NH","Northeast","Not-For-Profit","2014","450456000","29218000","410475000","421238000","19077000","4057000","32476000","566758000","253039000","313719000","181686000","80047000","71353000","46896000","440315000","12953000","25397000","48531000",""
"Concord Hospital (NH)","Concord","NH","Northeast","Not-For-Profit","2013","423847000","11879000","400739000","411968000","14797000","4720000","31493000","539868000","244555000","295313000","175883000","80171000","68672000","46061000","426765000","24006000","25047000","44564000",""
"Concord Hospital (NH)","Concord","NH","Northeast","Not-For-Profit","2012","416459000","20129000","383010000","396330000","14066000","4918000","26251000","477199000","246734000","230465000","180512000","94148000","66222000","41614000","410396000","","","",""
"Cone Health aka Moses H. Cone Health (NC)","Greensboro","NC","South","Not-For-Profit","2017","1855726000","70851000","1651443000","1784875000","51690000","14168000","145691000","2606301000","951762000","1654539000","449761000","404295000","502001000","198787000","1836565000","57808000","115467000","181325000",""
"Cone Health aka Moses H. Cone Health (NC)","Greensboro","NC","South","Not-For-Profit","2016","1704991000","59985000","1560610000","1645006000","33080000","11206000","135933000","2425199000","912878000","1512321000","458787000","361154000","456751000","229610000","1678293000","20337000","107173000","151666000","Deloitte & Touche LLP"
