"a_Name","Year","Total_Revenue","NPR","HMA_System_Name","HMA_Member"
"Michigan Medicine","2012",2721156984.10668,2601800000,"Michigan Medicine","Y"
"MidMichigan Health","2012",561821000,526943000,NA,NA
"Mile Bluff Medical Center (WI)","2012",61243931,58895548,NA,NA
"Mission Health System (NC)","2012",1079826000,997538000,NA,NA
"Mississippi Baptist Health System","2012",426023575,401149777,NA,NA
"Monongalia Health System (WV)","2012",217607474,220625971,NA,NA
"Montefiore Health System (NY)","2012",3147011000,2903751000,"Montefiore Health System","Y"
"Mount Nittany (PA)","2012",298530097,289984697,NA,NA
"Mount Sinai (FL)","2012",497120000,468869000,NA,NA
"Mount Sinai Health System (NY)","2012",1872002000,1690645000,NA,NA
"Mountain States Health Alliance (TN)","2012",1013827000,952133000,NA,NA
"MultiCare Health System (WA)","2012",1645662000,1487848000,"MultiCare Health System","Y"
"Munroe Regional Health System (FL)","2012",300589039,293214530,NA,NA
"Munson Healthcare (MI)","2012",528736330,508949979,"Munson Healthcare","N"
"Nash Health Care Systems (NC)","2012",236359435,211317215,NA,NA
"Nationwide Children’s Hospital, Inc. and Subsidiaries (OH)","2012",1584812000,873294000,NA,NA
"Navicent Health (formerly Central Georgia Health Systems, Inc.)","2012",752029000,681019000,NA,NA
"NCH Healthcare Systems, inc. (IL)","2012",481528103,457882331,NA,NA
"Nebraska Methodist Health System","2012",678024000,614725000,NA,NA
"Nemours Foundation (The) (FL)","2012",882639212,631356252,NA,NA
"New Hanover Regional Medical Center (NC)","2012",678509000,152287000,NA,NA
"New York-Presbyterian Healthcare System, Inc.","2012",4069189000,3672909000,"NewYork-Presbyterian","Y"
"New York City Health & Hospitals Corporation","2012",7027046000,4317866000,NA,NA
"New York Methodist Hospital","2012",727828000,663592000,NA,NA
"New York Society for the Relief of the Ruptured and Crippled, Maintaining the Hospital for Special Surgery","2012",796050000,631339000,NA,NA
"Newport Hospital (RI)","2012",122038000,104812000,NA,NA
"NewYork- Presbyterian/Queens formerly New York Hospital Medical Center of Queens","2012",681008000,630263000,NA,NA
"Nicklaus Children's Health System (formerly Miami Children's Health System Inc.)","2012",510562265,447132288,NA,NA
"Norman Regional Hospital Authority (OK)","2012",312450000,316736000,NA,NA
"North Brevard County Hospital District (FL)","2012",136561043,144711679,NA,NA
"North Memorial Health Care (MN)","2012",753734288,683707825,NA,NA
"North Mississippi Health Services, Inc.","2012",787020000,720551000,NA,NA
"NorthBay Healthcare System (CA)","2012",353279000,302855000,NA,NA
"NorthEast Georgia Health System","2012",666088982,615747569,NA,NA
"Northern Arizona Healthcare Corporation","2012",520410000,505282000,NA,NA
"NorthShore University HealthSystems (IL)","2012",1865438000,1630425000,NA,NA
"Northwell Health, Inc. Formerly North Shore-Long Island Jewish Health System (NY)","2012",6771257000,6258823000,"Northwell Health","Y"
"Northwest Alabama Health","2012",97385218,93537138,NA,NA
"Northwest Community Hospital (IL)","2012",538473134,465667306,NA,NA
"Northwestern Memorial Healthcare (IL)","2012",1735031000,1582051000,"Northwestern Medicine","Y"
"Norton Healthcare, Inc. (KY)","2012",1736357180,1631559448,"Norton Healthcare","Y"
"Novant Health (NC)","2012",3644135000,3397455000,"Novant Health","Y"
"NYU Langone Hospitals (Formerly) NYU Hospital Center","2012",1959160000,1830158000,NA,NA
"NYU Winthrop Hospital (formerly) Winthrop-University Hospital Association (NY)","2012",1038563383,996652649,NA,NA
"Ochsner Clinic Foundation (LA)","2012",1887254000,1483926000,"Ochsner Health System","Y"
"Ohio State University Medical Center","2012",1913545000,1854720000,"Ohio State University Medical Center","Y"
"OhioHealth","2012",2375607000,2295313000,"OhioHealth","Y"
"Olmsted Medical Center (MN)","2012",167786402,160639281,NA,NA
"Orange Regional Medical Center (NY)","2012",354696000,344082000,NA,NA
"Orlando Health (FL)","2012",1882527000,1743702000,NA,NA
"OSF Healthcare System (IL)","2012",2011338000,1811518000,NA,NA
"OU Medical System","2012",848644000,352745000,"OU Medical System","Y"
"Overlake Hospital (WA)","2012",430318000,403077000,NA,NA
"Owensboro Health (KY)","2012",416916000,407081000,NA,NA
"Palisades Healthcare System (NJ)","2012",172699000,159731000,NA,NA
"Palmetto Health (SC)","2012",1150635000,990577000,"Palmetto Health","Y"
"Palomar Health (CA)","2012",559930000,484922000,NA,NA
"Parkland Health & Hospitals (Dallas County Hospital District) (TX)","2012",1665325000,487039000,NA,NA
"Parkview Health (IN)","2012",1133339000,1041409000,NA,NA
"Parkview Health System, Inc. (CO)","2012",280720768,270192131,NA,NA
"Partners Healthcare System, Inc. (MA)","2012",9142763000,6828189000,"Partners HealthCare","Y"
"PeaceHealth (WA)","2012",2107693000,1969766000,NA,NA
"Peninsula Regional Medical Center (MD)","2012",380306000,366015000,NA,NA
"Phoebe Putney Health System, Inc. (GA)","2012",609944398,593803421,NA,NA
"Phoenix Children's Hospital aka Children's Healthcare of AZ","2012",673386000,639987000,NA,NA
"Piedmont Hospital (GA)","2012",1479870000,1360426000,"Piedmont Healthcare","Y"
"Pinnacle Health System (PA)","2012",761558000,728607000,NA,NA
"Pocono Health System (PA)","2012",258420279,247925739,NA,NA
"Pomona Valley Hospital Medical Center (CA)","2012",481683000,431311000,NA,NA
"Prairie Lakes Health Care System (SD)","2012",79256520,75445676,NA,NA
"Premier Health Partners (OH)","2012",1871267000,1701627000,NA,NA
"Presbyterian Healthcare Services (NM)","2012",2187636000,708774000,"Presbyterian Healthcare Services","Y"
"Presence Health (IL)","2012",2843766000,2490884000,NA,NA
"ProHealth Care, Inc. (WI)","2012",719732000,618194000,NA,NA
"ProMedica Health System (OH)","2012",2178296000,1331772000,NA,NA
"Providence St. Joseph Health (WA)","2012",15976084000,12174585000,"Providence St. Joseph Health","Y"
"Public Hospital Distrcit No. 1 of King County, DBA Valley Medical Center (WA)","2012",432044947,405616069,NA,NA
"Queen's Health Systems (HI)","2012",870296000,731024000,NA,NA
"Rady Children's Hospital and Health Center (CA)","2012",722047000,502509000,NA,NA
"Reading Health System (PA)","2012",851789231,824817874,NA,NA
"Redlands Community Hospital (CA)","2012",272960689,134450858,NA,NA
"Regional Health, Inc. (SD)","2012",538005000,496256000,NA,NA
"Regional One Health","2012",364009071,325541073,"Regional One Health","Y"
"Reid Hospital & Health Care Services (IN)","2012",358410561,342237365,NA,NA
"Renown Health (NV)","2012",826650000,553082000,NA,NA
"Riverside Health System (IL)","2012",293107493,254976606,NA,NA
"Riverview Hospital (IN)","2012",355540725,346595983,NA,NA
"Robert Wood Johnson Health Network (NJ)","2012",832709000,754497000,NA,NA
"Rochester General Health System (NY)","2012",894450785,816233365,NA,NA
"Rockford Health System (IL)","2012",429122000,358819000,NA,NA
"Roper St Francis Healthcare (aka CareAlliance Health Services) (SC)","2012",747737000,707710000,NA,NA
"Rush University Medical Center (IL)","2012",1745113000,1510815000,"Rush University Medical Center","Y"
"Saint Francis Care, Inc (CT)","2012",677425000,641607000,NA,NA
"Saint Francis Health System (OK)","2012",1019969938,983596912,NA,NA
"Saint Peter's Healthcare System (NJ)","2012",411676000,382060000,NA,NA
"Salem Hospital (OR)","2012",564025352,516887814,NA,NA
"Salinas Valley Memorial Healthcare System (CA)","2012",330875000,321654000,NA,NA
"Samaritan Health Partners (OH)","2012",458073000,408748000,NA,NA
"Samaritan Health Services (OR)","2012",739417000,526857000,NA,NA
"San Juan Regional Medical Center (NM)","2012",251100725,243036720,NA,NA
"Sanford Health (SD)","2012",2528787000,2200932000,NA,NA
"Sarasota Memorial Health Care System (FL)","2012",555938823,472485789,NA,NA
"Scott & White Health Care System ( Merged with Baylor) (TX)","2012",1998215000,1938487000,NA,NA
"Scripps Health (CA)","2012",2740821000,2126289000,"Scripps Health","Y"
"Seattle Cancer Care Alliance (WA)","2012",355080000,321921000,NA,NA
"Seattle Children's Healthcare System (WA)","2012",1037779000,813244000,NA,NA
"Select Medical Holdings Corporation (PA)","2012",2855660000,2730403365.69892,NA,NA
"Self Regional Healthcare (SC)","2012",363628492,342030608,NA,NA
"Sentara Healthcare (VA)","2012",4235800000,2595899000,"Sentara Healthcare","Y"
"Shands Jacksonville HealthCare (FL)","2012",513009000,483830000,NA,NA
"Shands Teaching Hospitals & Clinics Gainesville (FL)","2012",1092259000,1060568000,NA,NA
"Sharp HealthCare (CA)","2012",2789241000,1717727000,"Sharp HealthCare","Y"
"Sheppard Pratt Health System (MD)","2012",276534856,254159311,NA,NA
"Shriners Hospitals for Children (FL)","2012",1151588000,96161000,NA,NA
"Sid Peterson Memorial Hospital dba Peterson Regional Medical Center (TX)","2012",85514619,95666435,NA,NA
"Sisters of Charity of Leavenworth (KS)","2012",2349800000,2099600000,"SCL Health","Y"
"Skagit County Public Hospital District No. 2 (WA)","2012",248132465,228911389,NA,NA
"Sky Lakes Medical Center (OR)","2012",172311672,164379803,NA,NA
"South Broward Hospital District dba Memorial Healthcare System (FL)","2012",1518071000,1395949000,NA,NA
"South Central Regional Medical Center (MS)","2012",136601893,130910417,NA,NA
"South Georgia Medical Center / Hospital Authority of Valdosta and Lowndes County Members","2012",326052000,304429000,NA,NA
"South Lake Hospital (FL)","2012",138558432,130519304,NA,NA
"South Nassau Communities Hospital (NY)","2012",401740164,391739673,NA,NA
"South Shore Health and Educational Corporation (MA)","2012",460437129,436337411,NA,NA
"Southcoast Health System, Inc. (MA)","2012",802532000,756442000,NA,NA
"Southeast Missouri Hospital Association dba SoutheastHEALTH","2012",321130384,299971992,NA,NA
"Southeastern Regional Medical Center (NC)","2012",308897471,277586439,NA,NA
"Southern New Hampshire Health System","2012",292659229,263879544,NA,NA
"Southern Ohio Medical Center","2012",294112067,271375544,NA,NA
"Southern Regional Health System (GA)","2012",256929000,196433000,NA,NA
"Southwest Community Health System (CT)","2012",307774000,290799000,NA,NA
"Southwest Health Systems (MS)","2012",41605316,40422158,NA,NA
"Southwest Louisiana Health Care System, Inc., d/b/a Lake Charles
Memorial Health System","2012",234617000,225771000,NA,NA
"Sparrow Health System (MI)","2012",1180084000,804059000,NA,NA
"Spartanburg Regional Healthcare System (SC)","2012",748483000,719525000,NA,NA
"Spectrum Health (MI)","2012",3786853000,1598939000,"Spectrum Health","Y"
"SSM Health Care (MO)","2012",3474959000,3061547000,"SSM Health","Y"
"St Luke's Health Corporation (MO)","2012",434921000,415064000,NA,NA
"St. Anthony’s Medical Center and Affiliates","2012",421349000,419834000,NA,NA
"St. Charles Health System (OR)","2012",532665000,480770000,NA,NA
"St. Clair Health Corporation (PA)","2012",259512000,240207000,NA,NA
"St. Elizabeth Healthcare (KY)","2012",1032532000,938251000,NA,NA
"St. George Corporation (owner of Palos Community Hospital) (IL)","2012",407181000,318112000,NA,NA
"St. Joseph's Healthcare Systems (NJ)","2012",700498000,617908000,NA,NA
"St. Joseph's Hospital Health Center (NY)","2012",588296015,567667199,NA,NA
"St. Luke's Health System (ID)","2012",1375583000,1329346000,NA,NA
"St. Luke's University Health Network (PA)","2012",969204005,928776933,NA,NA
"Stamford Health, Inc. (CT)","2012",501031000,481594000,NA,NA
"Stanford Health care (CA)","2012",2388694000,2299722000,"Stanford Health Care","Y"
"Steward Health Care System, LLC (MA)","2012",1955822000,1678068000,NA,NA
"Stormont-Vail Healthcare (KS)","2012",590946187,509639239,NA,NA
"Summa Health System (OH)","2012",1398485000,788369000,"Summa Health System","Y"
"SunLink Health Systems, Inc. (GA)","2012",111330000,113189000,NA,NA
"Susquehanna Health System (PA)","2012",395693715,381653517,NA,NA
"Sutter Health (CA)","2012",9.802e+09,8.236e+09,"Sutter Health","Y"
"Swedish Covenant Hospital (IL)","2012",280748000,228542000,NA,NA
"SwedishAmerican Hospital and Subsidiary (IL)","2012",416077000,378811000,NA,NA
"Sylvania Franciscan Health (OH)","2012",648997874,587142638,NA,NA
"Tallahassee Memorial Healthcare (FL)","2012",496621883,480815392,NA,NA
"Temple University Health System (PA)","2012",1012035000,956634000,NA,NA
"Tenet Healthcare Corporation (TX)","2012",8.503e+09,9.119e+09,"Tenet Healthcare","Y"
"Texas Children's Hospital","2012",2242089000,1204763000,NA,NA
"Texas Health Resources","2012",3929522000,3547347000,"Texas Health Resources","Y"
"The Carle Foundation (IL)","2012",1750521000,558038000,NA,NA
"ThedaCare, Inc. (WI)","2012",742768000,667915000,NA,NA
"Thomas Health System, Inc. (WV)","2012",257552302,246190796,NA,NA
"Tift County Hospital Authority","2012",287160000,262903000,NA,NA
"Torrance Health Association (CA)","2012",539411000,390014000,NA,NA
"Touro Infirmary (LA)","2012",321428000,292407000,NA,NA
"Trinitas Regional Medical Center (NJ)","2012",294756859,199533939,NA,NA
"Trinity-Mother Frances Hospitals And Clinics (TX)","2012",642641550,607297174,NA,NA
"Trinity Health (CHE Trinity) (MI)","2012",8566497000,7417704000,"Trinity Health","N"
"Trinity Hospital Holding Company (OH)","2012",208564901,190540766,NA,NA
"Tufts Medical Center (MA)","2012",868459000,698832000,NA,NA
"Tuomey Healthcare System (SC)","2012",195799773,189104493,NA,NA
"UAB (University of Alabama Birmingham) Health System","2012",1271283000,1054751000,"UAB Medicine","Y"
"UC Health (OH)","2012",1163311000,1029429000,NA,NA
"UF Health Shands","2012",1092259000,1060568000,"UF Health Shands","Y"
"UMass Memorial Health Care (MA)","2012",2267799000,2035378000,NA,NA
"UNC Health Care System","2012",2267969473,2187669689,"UNC Health Care","Y"
"Union Hospital Inc (IN)","2012",432250131,421229572,NA,NA
"United Health Services, Inc. (NY)","2012",496000627,466774046,NA,NA
"United Surgical Partners International (TX)","2012",494878000,441920000,NA,NA
"UnityPoint Health a/k/a Iowa Health System and Subsidiaries","2012",2868741000,2554595000,"UnityPoint Health","Y"
"Universal Health Services, Inc. (PA)","2012",6961400000,6961400000,NA,NA
"University General Health System, Inc. (TX)","2012",94940124,101799832,NA,NA
"University Health Care System (GA)","2012",502892716,438545588,NA,NA
"University Health System, Inc. (TN)","2012",590373062,537816081,NA,NA
"University Hospitals (OH)","2012",2255804000,2103669000,"University Hospitals","Y"
"University of Arizona Health Network ","2012",1145537000,814399000,NA,NA
"University of California - Davis","2012",1327293000,1319423000,NA,NA
"University of California - Irvine","2012",724056000,709486000,NA,NA
"University of California - Los Angeles","2012",1781599000,1753609000,"UCLA Health","Y"
"University of California - San Diego","2012",1045162000,996668000,NA,NA
"University of California - San Francisco","2012",1982295000,1945325000,"University of California, San Francisco","Y"
"University of California Health System","2012",6860405000,6724511000,NA,NA
"University of Chicago Medicine (IL)","2012",1311063000,1221971000,"University of Chicago Medical Center","Y"
"University of Iowa Hospitals and Clinics","2012",1119690000,1041179000,NA,NA
"University of Maryland Medical System","2012",2276403000,2293337000,"University of Maryland Medical System","N"
"University of Missouri Health Care","2012",665222000,639180000,NA,NA
"University of Pennsylvania Health System","2012",3419714000,3192584000,NA,NA
"University of Rochester Medical Center (Strong Memeorial Hospital (NY)","2012",1178919807,1096496705,"University of Rochester Medical Center","N"
"University of Utah Health Care","2012",996685000,986766000,NA,NA
"University of Vermont Health Network Formerly known as Fletcher Allen Health Care Inc (VT)","2012",1220455000,1001403000,NA,NA
"University of Wisconsin Hospitals & Clinics Authority","2012",1175265000,1181671000,NA,NA
"UPMC (PA)","2012",9506045000,5257955000,"UPMC","Y"
"USMD Holdings (TX)","2012",108726000,59420000,NA,NA
"UTHealth","2012",795197191.88,232605855.37,"UTHealth","Y"
"UVA Health System","2012",1185291158,1115830549,NA,NA
"UVMC (OH)","2012",194680000,173800000,NA,NA
"Vail Health Services (CO)","2012",216316623,199307508,NA,NA
"Valley Health System (VA)","2012",719184000,670016000,NA,NA
"Vanguard Health Systems (merged with Tenet) (TN)","2012",5915600000,5191600000,NA,NA
"Verity Health System of California, Inc., (Daughters of Charity Health System)","2012",1275361000,1178957000,NA,NA
"Vidant Health (University Health Systems of Eastern Carolina) (NC)","2012",1574619000,1491106000,NA,NA
"Village Improvement Association of Doylestown (PA)","2012",236716053,222932529,NA,NA
"Virginia Hospital Center Arlington Health System","2012",450670267,376771534,NA,NA
"Virtua Health (NJ)","2012",1211903000,1086027000,"Virtua","Y"
"Wake Forest Baptist Medical Center (NC)","2012",1994794000,1624090000,NA,NA
"WakeMed Health & Hospitals (NC)","2012",1122075000,1056683000,NA,NA
"Washington Hospital Healthcare System (Washington Township) (CA)","2012",478667000,449755000,NA,NA
"Wayne Health Corp (NC)","2012",216911751,201877004,NA,NA
"Wellmont Health System (TN)","2012",807406000,740475000,NA,NA
"WellSpan Health (PA)","2012",1128671000,1092350000,"WellSpan Health","Y"
"WellStar Health System (GA)","2012",1451577000,1426691000,NA,NA
"West Georgia Medical Center, Inc. and Affiliates","2012",167323039,152505635,NA,NA
"West Jefferson Medical Center (LA)","2012",245755365,231618594,NA,NA
"West Penn Allegheny Health System (PA)","2012",1513546000,1479569000,NA,NA
"West Virginia United Health System, Inc.","2012",1445435000,1320006000,NA,NA
"Westchester County Healthcare Corporation (NY)","2012",874777852,867780675,NA,NA
"Western Connecticut Health Network","2012",762370406,712149417,NA,NA
"Western Maryland Health System","2012",296967000,283517000,NA,NA
"Western Missouri Medical Center","2012",77535347,76867830,NA,NA
"Wheaton Franciscan Healthcare (WI)","2012",1721703000,1541632000,NA,NA
"White Plaines Hospital Medical Center (NY)","2012",341324753,329161271,NA,NA
"Windham Community Memorial Hospital (CT)","2012",92614596,87038196,NA,NA
"Woman's (The) Hospital Foundation (LA)","2012",214443253,214145000,NA,NA
"Wyoming Medical Center","2012",206383924,198218410,NA,NA
"Yale New Haven Health System (CT)","2012",2584812000,2469820000,"Yale New Haven Health","Y"
"Yavapai Regional (AZ)","2012",239479128,243277823,NA,NA
"Yuma Regional Medical Center and Affiliates (AZ)","2012",335912283,302561842,NA,NA
"Abington Health (PA)","2013",799483547,774153840,NA,NA
"Acadia Healthcare Company, Inc. (TN)","2013",712717000,713408000,NA,NA
"Adena Health System (OH)","2013",424429547,400904350,NA,NA
"Adventist Health System (FL)","2013",7675661000,7239546000,"Adventist Health System (FL)","Y"
"Adventist Health West (CA)","2013",3052099000,2794378000,"Adventist Health (CA)","Y"
"Adventist HealthCare (MD)","2013",671743262,621757153,NA,NA
"Advocate Aurora Health","2013",9691286000,8100133000,"Advocate Aurora Health","Y"
"Agnesian HealthCare (WI)","2013",420133000,405145000,NA,NA
"Akron General Health System (OH)","2013",599233000,554169000,NA,NA
"Albany Medical Center Hospital (NY)","2013",983580000,878300000,NA,NA
"Albert Einstein Healthcare Network (PA)","2013",1083887000,998290000,NA,NA
"Alice Hyde Medical Center (NY)","2013",66404063,61780535,NA,NA
"All Children's Hospital (FL)","2013",419021000,358963000,NA,NA
"Allegiance Health Management (LA)","2013",444197271,403833281,NA,NA
"Allina Health (MN)","2013",3613583000,3200956000,NA,NA
"Altru Health System (ND)","2013",467728210,426142497,NA,NA
"AnMed Health (SC)","2013",531340813,450089718,NA,NA
"Anne Arundel Health System (MD)","2013",612608000,545539000,NA,NA
"Antelope Valley Healthcare District (CA)","2013",354261336,350481189,NA,NA
"Appalachian Regional Healthcare, Inc. (KY)","2013",549056387,516386479,NA,NA
"Archbold Medical Center (GA)","2013",336804524,315423619,NA,NA
"Asante Health System (OR)","2013",593207000,525506000,NA,NA
"Ascension Health (MO)","2013",19215489000,15202275000,"Ascension","Y"
"Ashland Hospital Corporation d/b/a King's Daughters Medical Center (KY)","2013",461225456,467386456,NA,NA
"Athens Regional Health Services (GA)","2013",432861067,383314820,NA,NA
"Atlantic Health System","2013",1650275000,1491182000,"Atlantic Health System","Y"
"AtlantiCare (NJ)","2013",673097000,617875000,NA,NA
"Atrium Health System (OH)","2013",250347000,220616000,NA,NA
"Augusta Healthcare (VA)","2013",279979610,259820882,NA,NA
"Avera Health (SD)","2013",1503598384,1238185418,"Avera Health","Y"
"Banner Health (AZ)","2013",5676299000,4424053000,"Banner Health","Y"
"Baptist Health (AR)","2013",878991000,753221000,NA,NA
"Baptist Health Care Corporation (FL)","2013",697313000,484831000,NA,NA
"Baptist Health South Florida","2013",2376363456,2108301924,"Baptist Health South Florida","Y"
"Baptist Health System, Inc. FL","2013",1327826000,1183186000,NA,NA
"Baptist Healthcare System, Inc. and Affiliates (KY)","2013",2090736000,1638529000,NA,NA
"Baptist Memorial Health Care Corp. (TN)","2013",1975785000,1803183000,NA,NA
"Barnabas Health (NJ)","2013",2611733000,2340774000,NA,NA
"Barrett Hospital & HealthCare (MT)","2013",29429803,29811578,NA,NA
"Baxter Regional Health System (AR)","2013",159520791,149670938,NA,NA
"Bay Health Medical Center (DE)","2013",518023939,470949727,NA,NA
"BayCare Health System (FL)","2013",3016098000,2482208000,"BayCare Health System","Y"
"Baylor Health Care System (BaylorScott & White Health) (TX)","2013",4329456000,3915151000,NA,NA
"Baystate Health System, Inc. (MA)","2013",1737656000,1077969000,NA,NA
"Beacon Health System (IN)","2013",859856000,777684000,NA,NA
"Beaumont Health System (MI)","2013",2333887000,2159012000,"Beaumont Health","Y"
"Beebe Medical Center (DE)","2013",284860522,278929614,NA,NA
"Beloit Health System (WI)","2013",198190397,184990372,NA,NA
"Benefis Health System (MT)","2013",357749488,324712209,NA,NA
"Berkshire Health Systems, Inc. (MA)","2013",436511544,397687763,NA,NA
"Beth Israel Deaconess Medical Center","2013",1931040000,1518199000,"Beth Israel Deaconess Medical Center","Y"
"Bethesda Healthcare System (FL)","2013",302982167,265767821,NA,NA
"Bexar County Hospital District d/b/a University Health System (TX)","2013",1121714000,514618000,NA,NA
"BJC HealthCare (MO)","2013",4252900000,3752100000,"BJC HealthCare","Y"
"Blanchard Valley Health System (OH)","2013",317820000,265588000,NA,NA
"Blount Memorial Hospital (TN)","2013",206692454,175213390,NA,NA
"Blue Ridge Healthcare (NC)","2013",248659120,219311934,NA,NA
"BMC Health System (Boston Medical Center) (MA)","2013",2458558000,895593000,NA,NA
"Boca Raton Regional Hospital (FL)","2013",359683984,332030699,NA,NA
"Bon Secours Health System, Inc. (MD)","2013",3404339000,3223880000,"Bon Secours Health System","Y"
"Boston Children's Hospital (MA)","2013",2099520000,1410107000,NA,NA
"Boulder Community Health (CO)","2013",305973239,273510009,NA,NA
"Bozeman Health Services (MT)","2013",217723816,199586373,NA,NA
"Bronx-Lebanon Hospital Center (NY)","2013",661779206,556525055,NA,NA
"Brookdale University Hospital and Medical Center (NY)","2013",573300000,266909000,NA,NA
"Brookhaven Health Care Services Corporation (NY)","2013",280512403,259409478,NA,NA
"Broward Health dba North Broward Hospital District (FL)","2013",1138171000,867030000,NA,NA
"Butler Health System (PA)","2013",253974427,241100893,NA,NA
"Cadence Health (IL)","2013",1150699000,1066585000,NA,NA
"Calvert Health System (MD)","2013",141584902,131527743,NA,NA
"Campbell County Hospital District (WY)","2013",149059295,122455968,NA,NA
"Cape Cod Healthcare, Inc. (MA)","2013",685472673,660231403,NA,NA
"Cape Fear Valley Health Systems (dba Cumberland County Hospital System) (NC)","2013",712444000,664072000,NA,NA
"Capella Healthcare (TN)","2013",656300000,627512984.356751,NA,NA
"Capital Region Medical Center (MO)","2013",154047928,149198025,NA,NA
"Care New England System (RI)","2013",900126824,805715435,NA,NA
"CareGroup (MA)","2013",2541228000,2077994000,NA,NA
"Carilion Clinic (VA)","2013",1556743000,1256049000,"Carilion Clinic","Y"
"Carolinas HealthCare System (NC)","2013",4796159000,4174175000,"Atrium Health","Y"
"Caromont Health (NC)","2013",533173580,473476263,NA,NA
"Carroll Hospital Center (MD)","2013",297249000,260318000,NA,NA
"Carson Tahoe Health System (NV)","2013",254323000,241609000,NA,NA
"Catholic Health Initiatives (CO)","2013",11252871000,9892990000,"Catholic Health Initiatives","N"
"Catholic Health Services of Long Island (NY)","2013",2121246000,1923300000,NA,NA
"Catholic Health System (NY)","2013",925906000,902081000,NA,NA
"Cedars-Sinai Medical Center (CA)","2013",2978339000,2549476000,"Cedars-Sinai","Y"
"Centegra Health System (IL)","2013",405244000,378938000,NA,NA
"CentraCare Health (MN)","2013",1040063320,895654163,NA,NA
"Central Florida Health Alliance","2013",394539000,368564000,NA,NA
"Central Washington Hospital & Clinics","2013",234063202,228342928,NA,NA
"CentraState Healthcare System (NJ)","2013",286976000,242166000,NA,NA
"Charleston Area Medical Center Health System, Inc. (WV)","2013",968869000,876206000,NA,NA
"Children's Health Services of Texas dba Children's Medical Center of Dallas","2013",1255674000,1093538000,NA,NA
"Children's Healthcare of Atlanta (GA)","2013",1624088000,1113401000,NA,NA
"Children's Healthcare of California","2013",603354000,497537000,NA,NA
"Children's Hospital and Clinics of Minnesota","2013",764229000,680372000,NA,NA
"Children's Hospital And Health System (WI)","2013",941139000,594407000,NA,NA
"Children's Hospital Colorado Health System","2013",941197000,793784000,NA,NA
"Children's Hospital Los Angeles (CA)","2013",888358000,645231000,NA,NA
"Children's Hospital Medical Center (OH)","2013",1931505000,1332851000,NA,NA
"Children's Hospital Medical Center of Akron (OH)","2013",662698000,551761000,NA,NA
"Children's Hospital of Alabama","2013",707730858,648815616,NA,NA
"Children's Hospital of Omaha (NE)","2013",343637000,296512000,NA,NA
"Children's Hospital of Philadelphia (The) (PA)","2013",2210246000,1744102000,NA,NA
"Children's Mercy Hospital (MO)","2013",941170000,784989000,NA,NA
"Children’s Hospital of Chicago Medical Center and Affiliated Corporations dba Ann & Robert Lurie Children's Hospital of Chicago (IL)","2013",797208208,645225927,NA,NA
"Children’s National Medical Center (DC)","2013",1016165000,835516000,NA,NA
"Christ Hospital Health Network (The) (OH)","2013",758829000,708715000,NA,NA
"Christiana Care Health Services (DE)","2013",1535711056,1369139882,"Christiana Care Health System","Y"
"CHRISTUS Health (TX)","2013",3787899000,3224163000,"CHRISTUS Health","N"
"Cincinnati Children's Hospital Medical Center (OH)","2013",1931505000,1332851000,NA,NA
"Circle Health, Inc (MA)","2013",432151659,416049063,NA,NA
"City of Hope (CA)","2013",1391771000,777694000,NA,NA
"Cleveland Clinic Health System (OH)","2013",7056263000,5873582000,"Cleveland Clinic","Y"
"CMC (Catholic Medical Center ) Healthcare System (NH)","2013",317493209,298890289,NA,NA
"Columbus Regional Healthcare System (GA)","2013",442044021,407205050,NA,NA
"Columbus Regional Hospital (IN)","2013",266972062,257256907,NA,NA
"Comanche County Memorial Hospital (OK)","2013",223654238,222452257,NA,NA
"Commonwealth Health Corporation (KY)","2013",370499968,333170178,NA,NA
"Community Health Network (IN)","2013",1823700000,1673572000,NA,NA
"Community Health Systems (TN)","2013",1.2211e+10,1.2819e+10,NA,NA
"Community Hospital Foundation (CA)","2013",480243000,423893000,NA,NA
"Community Memorial Health System (CA)","2013",335374063,304465205,NA,NA
"Concord Hospital (NH)","2013",423847000,400739000,NA,NA
"Cone Health aka Moses H. Cone Health (NC)","2013",1166062000,1098483000,"Cone Health","Y"
"Conemaugh Health System (PA)","2013",537523000,482156000,NA,NA
"Conway Hospital (SC)","2013",170614721,157809959,NA,NA
"Cook Children's Health Care System (TX)","2013",1295249000,880875000,NA,NA
"Cook County Health and Hospitals System (IL)","2013",1010807471,546067828,NA,NA
"Cooper Health System (NJ)","2013",899179000,812884000,NA,NA
"Cottage Health System (CA)","2013",820485237,691531180,NA,NA
"Covenant Health Systems, Inc (MI)","2013",528657000,482607000,NA,NA
"CoxHealth (MO)","2013",1256081018,992749894,"CoxHealth","Y"
"Crittenton Hospital Medical Center and Subsidiaries (MI)","2013",247433556,217271726,NA,NA
"Crozer-Keystone Health System (PA)","2013",809200000,753567000,NA,NA
"Dana Farber Cancer Center (MA)","2013",1070929000,635458000,NA,NA
"Dartmouth-Hitchcock (NH)","2013",1350251000,1173531000,"Dartmouth-Hitchcock Medical Center","Y"
"DCH Health Authority aka DCH Health System (AL)","2013",471948835,437931614,NA,NA
"Deaconess Health System (IN)","2013",699238994,657804695,NA,NA
"Decatur Hospital Authority dba Wise Regional Health System (TX)","2013",172799233,156562929,NA,NA
