"Rank","a_Name","Year","Total_hospital_beds","Admissions","Inpatient_Days","Surgical_operations_inpatient","Emergency_room_visits","Other_outpatient_visits_non_ER","Surgical_operations_outpatient","Total_outpatient_visits","Total_Medicaid_days","Total_Medicaid_discharges","Total_Medicare_days","Total_Medicare_discharges","Physicians_and_dentists_FT","Total_personnel_FT","Total_Physicians_NE","Total_Physicians_TE","Total_Physicians_TG","Total_Physicians_TC","Total_Physicians_TP","All_Physicians","Hospitals"
30,"Geisinger Health System (PA)",2014,1226,54931,268694,15333,356995,1613566,27496,1970561,62385,11370,123868,23998,265,8084,0,0,0,0,0,265,5
30,"Geisinger Health System (PA)",2015,1957,85150,372575,21112,530804,1788453,28926,2319256,94185,18331,175575,34511,292,11799,376,21,317,0,714,1720,6
30,"Geisinger Health System (PA)",2016,2317,105407,461009,27724,404033,2537947,40881,2941980,100990,21513,244167,49551,479,14499,825,2595,406,80,4972,9357,8
31,"Carolinas HealthCare System (NC)",2011,4557,184384,1117859,55235,931879,2581836,94819,3513715,294848,39870,496955,80829,423,24643,1819,987,1940,1238,6888,13295,23
31,"Carolinas HealthCare System (NC)",2012,5160,221235,1263004,65882,1150004,2896087,111134,4046091,323363,46116,548839,92830,710,30555,1392,755,2347,1401,8026,14631,22
31,"Carolinas HealthCare System (NC)",2013,5507,238279,1291738,69035,1323734,3050104,124966,4373838,285700,48869,592172,105310,750,31032,1718,2316,3601,1038,10407,19830,24
31,"Carolinas HealthCare System (NC)",2014,5421,240512,1278347,66428,1360426,2874331,124617,4234757,309742,48099,555428,106916,833,31876,1962,3119,2192,53,11216,19375,24
31,"Carolinas HealthCare System (NC)",2015,5227,255163,1291860,69655,1466626,2975635,130986,4442261,268106,51449,597415,114807,814,35486,2211,4109,2954,136,12498,22722,24
31,"Carolinas HealthCare System (NC)",2016,3851,186236,945640,57709,1108549,2283793,107664,3392342,209702,36095,419537,81608,101,20899,865,485,1146,67,12131,14795,19
32,"LifePoint Hospitals, Inc. (TN)",2011,5054,199600,867310,53722,982483,1772780,141905,2755263,177790,47301,508359,100648,157,17673,1312,94,807,346,2669,5385,52
32,"LifePoint Hospitals, Inc. (TN)",2012,5209,189079,827979,50802,990164,1862359,131048,2852524,177683,43469,476584,94520,206,18298,1078,109,675,126,2113,4307,52
32,"LifePoint Hospitals, Inc. (TN)",2013,5172,186296,839751,47836,1038949,1858583,128692,2897532,176536,40161,459290,91880,244,18733,1163,157,795,195,2315,4869,53
32,"LifePoint Hospitals, Inc. (TN)",2014,5116,177047,795411,46780,1049900,2016867,134213,3066767,183506,40998,408604,85271,347,18520,1375,219,873,88,2801,5703,50
32,"LifePoint Hospitals, Inc. (TN)",2015,5967,206909,919663,54051,1286790,2259998,152358,3546788,188785,48960,518564,101844,472,24156,1942,325,1016,415,3698,7868,53
32,"LifePoint Hospitals, Inc. (TN)",2016,5227,182283,841379,50928,1084180,2389402,150257,3473582,184562,41473,471603,94595,444,21576,2186,429,1506,521,4642,9728,51
33,"University of Pennsylvania Health System",2011,1587,78179,456938,27760,133406,1227030,30708,1360436,112768,19776,182314,27968,1746,14885,451,2734,462,0,3647,9040,3
33,"University of Pennsylvania Health System",2012,1570,77421,450935,27829,137208,1366801,31214,1504009,110860,20451,183184,27886,1774,14794,429,2885,441,0,3755,9284,3
33,"University of Pennsylvania Health System",2013,1764,86735,497972,29872,180112,1712217,35883,1892329,118175,20541,211160,32590,1851,16499,745,3241,516,0,4502,10855,4
33,"University of Pennsylvania Health System",2014,2376,115384,634640,42440,290255,3256967,53242,3547222,141458,26480,285396,47378,1986,20857,1254,3703,613,0,5570,13126,5
33,"University of Pennsylvania Health System",2015,2381,115839,631872,42578,299146,3571247,54361,3870393,133577,24208,288122,47459,2073,21753,1214,3832,657,0,5703,13479,5
33,"University of Pennsylvania Health System",2016,2801,131215,702482,48587,399562,4267107,67408,4666669,155460,27805,321366,53789,2165,24217,1026,4064,740,0,5830,13825,6
34,"Henry Ford Health System (MI)",2011,1941,106259,540828,30004,394894,2778159,51046,3173053,87492,18119,305343,52577,1123,14701,2268,2096,447,127,4938,10999,6
34,"Henry Ford Health System (MI)",2012,1823,103202,514988,28059,392187,2822133,50332,3214320,93433,19286,277629,48722,1065,14190,1598,2068,346,15,4025,9117,5
34,"Henry Ford Health System (MI)",2013,1752,95355,491046,25693,382290,2822276,51053,3204566,94037,18033,253780,44736,1008,12775,1502,1548,982,1,4033,9074,5
34,"Henry Ford Health System (MI)",2014,1717,87338,450272,26337,374321,3627734,50953,4002055,90114,17898,251419,43940,1002,15596,1466,2425,3,0,3894,8790,5
34,"Henry Ford Health System (MI)",2015,2086,110611,552310,28797,485763,4206291,56136,4692054,108627,23376,294440,53717,1092,19319,1551,2603,224,1,4379,9850,6
34,"Henry Ford Health System (MI)",2016,2191,111098,547331,32121,491284,4386802,57240,4878086,114155,24277,292854,53563,1181,20129,1383,2542,475,110,4510,10201,7
35,"Kindred Healthcare, Inc. (KY)",2011,7134,83130,1544349,1555,137,36134,292,36271,224792,11781,968151,48598,82,15833,1835,343,59,138,3947,6404,94
35,"Kindred Healthcare, Inc. (KY)",2012,7340,80027,1620322,2032,48,29228,191,29276,177044,4816,1158967,59306,34,16100,3143,390,183,204,5248,9202,97
35,"Kindred Healthcare, Inc. (KY)",2013,6364,65866,1339640,550,14,14477,8,14491,131446,3826,944013,48868,153,14598,2275,377,155,56,4000,7016,80
35,"Kindred Healthcare, Inc. (KY)",2014,6162,66800,1329088,652,7,22194,0,22201,168167,4094,862993,48239,38,14092,2451,419,152,61,4258,7379,81
35,"Kindred Healthcare, Inc. (KY)",2015,6137,62417,1321106,1136,7,14467,0,14474,135001,3919,895271,45467,35,14122,2175,2,136,97,3760,6205,77
35,"Kindred Healthcare, Inc. (KY)",2016,4876,51074,1077089,1650,0,18226,13,18226,100115,2106,738512,34625,44,10603,1895,3,153,81,3672,5848,62
36,"Spectrum Health (MI)",2011,1333,63976,328872,20605,251843,1347536,41713,1599379,72889,11580,155941,26743,66,7350,1122,649,364,1,2136,4338,5
36,"Spectrum Health (MI)",2012,1372,68536,309744,21501,278982,1738250,48743,2017232,69200,11412,163244,27474,58,7524,801,148,1373,17,2339,4736,6
36,"Spectrum Health (MI)",2013,1524,70011,355145,20762,344208,1940642,51023,2284850,94447,13529,152782,29556,54,7176,1047,590,1442,8,2679,5820,8
36,"Spectrum Health (MI)",2014,1582,70226,361962,22023,351594,2338101,52478,2689695,90707,13285,157265,29659,71,7636,1037,881,1339,45,3302,6675,9
36,"Spectrum Health (MI)",2015,1576,74684,375673,22847,368237,2783565,50913,3151802,104168,17068,164143,32304,59,8187,614,1357,1414,124,3509,7077,9
36,"Spectrum Health (MI)",2016,1524,76137,379527,29232,382240,2882121,48256,3264361,108812,17674,157583,32016,128,9724,550,1526,1743,79,3898,7924,8
37,"Mercy Health (MO)",2011,4262,176519,892411,50364,647419,2623380,94290,3270799,133587,29073,460130,78260,240,19549,1870,563,1427,63,4843,9006,31
37,"Mercy Health (MO)",2012,4434,177328,862432,47719,658354,3126638,101587,3784992,141897,29061,414130,77979,209,20377,2310,1174,1642,91,5217,10643,33
37,"Mercy Health (MO)",2013,4317,183182,853469,49218,679195,3145982,108416,3825177,139990,30053,418857,81563,713,22032,2254,2116,1134,336,5846,12399,31
37,"Mercy Health (MO)",2014,4043,172809,779323,45098,641926,3324768,104813,3966694,130352,27443,379218,75591,570,21465,2300,2029,1072,270,5671,11912,33
37,"Mercy Health (MO)",2015,4110,166718,781195,40425,665993,3280882,118711,3946875,132697,28485,379785,75713,662,22593,2787,2290,1024,120,6221,13104,32
37,"Mercy Health (MO)",2016,4529,190309,886576,46778,743026,4293575,131069,5036601,140456,29857,421946,88579,759,25033,3344,2559,1422,74,7399,15557,32
38,"Sentara Healthcare (VA)",2011,2164,124021,566079,33684,664643,2585757,67551,3250400,83712,21037,301839,58159,105,12393,1884,1144,1260,382,4670,9445,10
38,"Sentara Healthcare (VA)",2012,2599,128542,707556,33497,762800,2959207,75401,3722007,168423,21627,334642,62486,122,12901,3199,810,1270,344,5623,11368,11
38,"Sentara Healthcare (VA)",2013,2699,131215,729198,35245,802888,3697641,78015,4500529,161654,16801,316292,59072,136,14209,3455,874,1771,79,6380,12695,12
38,"Sentara Healthcare (VA)",2014,2694,129039,714988,34771,796329,4264955,83624,5061284,162085,16279,339008,64112,148,13955,3484,1063,1925,112,6584,13316,12
38,"Sentara Healthcare (VA)",2015,2708,132451,720235,35826,786664,4021957,85611,4808621,161410,16360,342620,66317,522,15660,3629,1135,1973,18,6755,14032,12
38,"Sentara Healthcare (VA)",2016,2755,137412,751703,37196,776355,3941580,84973,4717935,163249,15893,344492,66986,555,15646,3796,1194,2028,18,7036,14627,12
39,"MedStar Health (MD)",2011,2751,134527,710822,41387,497791,1815148,70336,2312939,151865,30425,339279,58753,835,18506,3074,1054,642,196,4966,10767,9
39,"MedStar Health (MD)",2012,2951,152163,764692,42725,585865,2160854,78030,2746719,154507,32566,374749,66214,932,20120,3537,1159,825,56,5577,12086,10
39,"MedStar Health (MD)",2013,3210,146355,727743,41027,572767,2687125,73591,3259892,143412,28291,362534,62351,954,21028,2928,1296,965,73,5222,11438,10
39,"MedStar Health (MD)",2014,2881,137047,729112,40391,549659,2311859,71816,2861518,157148,31896,358097,61206,1028,20403,2892,1468,847,670,5877,12782,10
39,"MedStar Health (MD)",2015,2882,132827,740084,39560,545296,2519700,71953,3064996,179656,34134,371659,61048,1140,20270,2112,1192,634,514,5789,11381,10
39,"MedStar Health (MD)",2016,2830,129571,718882,38397,516606,2340300,74610,2856906,187328,35466,367001,58201,1146,19797,2776,1555,881,700,5912,12970,10
40,"Fairview Health Services (MN)",2011,1468,71139,339507,25478,196677,864197,40114,1060874,73502,13079,125203,24304,752,6097,1698,704,386,9,2797,6346,6
40,"Fairview Health Services (MN)",2012,1479,72670,352099,24527,207414,1037108,39652,1244522,79851,14419,134219,25525,799,6409,3451,608,581,16,4576,10031,6
40,"Fairview Health Services (MN)",2013,1504,72291,367463,23792,209500,1071927,39708,1281427,81271,14442,132876,25627,744,6630,1843,507,1473,223,4379,9169,6
40,"Fairview Health Services (MN)",2014,1473,71049,361020,23029,224289,1097075,40581,1321364,81108,14518,137225,25978,755,6316,2253,570,1373,108,4304,9363,6
40,"Fairview Health Services (MN)",2015,1506,67680,359517,23095,233241,990333,41065,1223574,85122,14508,138792,25150,886,6220,963,703,1636,110,3412,7710,6
40,"Fairview Health Services (MN)",2016,2139,102558,529442,30374,359183,1037638,45742,1396821,126197,21515,219651,39542,1027,8754,1436,1161,1677,422,4696,10419,11
41,"Northwestern Memorial Healthcare (IL)",2011,1073,62650,301996,15642,136604,671113,24873,807717,44650,8674,94331,18519,56,7285,1828,118,417,90,2453,4962,2
41,"Northwestern Memorial Healthcare (IL)",2012,1073,60312,302106,14951,135665,730858,25570,866523,39185,7763,91913,17490,74,7114,1939,122,401,76,2538,5150,2
41,"Northwestern Memorial Healthcare (IL)",2013,1074,57891,270040,13917,133492,728645,27482,862137,35237,7303,92234,17150,97,6714,2099,299,406,26,2831,5758,2
41,"Northwestern Memorial Healthcare (IL)",2014,1603,85557,391420,25958,234767,1683433,50719,1918200,49342,11518,153735,29299,244,12267,2379,1866,197,14,4456,9156,4
41,"Northwestern Memorial Healthcare (IL)",2015,1715,88347,404308,24795,288279,3896024,54810,4184303,62680,13393,169227,31650,547,14431,2528,1863,390,0,4781,10109,6
41,"Northwestern Memorial Healthcare (IL)",2016,1900,89826,463253,22207,288997,4393693,47376,4682690,72042,13926,198884,33732,1493,15546,2557,2167,362,0,5086,11665,7
42,"Texas Health Resources",2011,2809,137673,671155,36558,575671,582481,32739,1158152,90680,17494,309889,59204,4,12042,4643,13,1176,0,6954,12790,13
42,"Texas Health Resources",2012,2764,140802,679746,35140,637957,627497,33819,1265454,91149,18201,315391,61036,4,11984,5073,0,1376,703,7151,14307,13
42,"Texas Health Resources",2013,2848,138496,667956,34053,649140,624703,34394,1273843,92501,18407,316077,61705,9,12135,4913,3,1837,807,7569,15138,14
42,"Texas Health Resources",2014,2854,141884,678884,33827,663406,577678,33031,1241084,94597,18608,317730,62437,4,12530,5602,10,1920,177,7709,15422,14
42,"Texas Health Resources",2015,2853,147808,702598,35163,668617,656211,34114,1324828,91969,17766,335366,66735,4,12538,5838,10,2223,20,8091,16186,14
42,"Texas Health Resources",2016,2863,151300,713209,33339,565867,574804,38031,1140671,80367,17647,344590,69554,3,12865,5739,8,2458,164,8369,16741,14
43,"Memorial Hermann Healthcare System (TX)",2011,3017,131982,683450,40284,432930,641830,35839,1074760,148128,27347,270881,47979,1,11303,4711,61,1335,0,6107,12215,8
43,"Memorial Hermann Healthcare System (TX)",2012,3060,131584,680542,39983,449689,673145,34782,1122834,143110,26429,272871,48609,0,11426,3875,80,1293,997,6639,12884,8
43,"Memorial Hermann Healthcare System (TX)",2013,3087,137375,706537,40733,476640,696312,37627,1172952,146986,27816,287185,51307,0,13020,3828,41,1240,1980,7089,14178,8
43,"Memorial Hermann Healthcare System (TX)",2014,3091,143719,744310,42598,509540,745925,45523,1255465,155993,28901,300944,53301,1,13003,4780,52,1065,1637,7534,15069,9
43,"Memorial Hermann Healthcare System (TX)",2015,3310,151262,797116,46217,567421,791353,49554,1358774,157078,27832,331659,57639,5,14211,5213,69,1422,1276,7980,15965,10
43,"Memorial Hermann Healthcare System (TX)",2016,3493,157587,818871,48958,638603,805134,48168,1443737,155088,27146,335594,58047,2,14200,5640,65,1775,1550,9030,18062,8
44,"BJC HealthCare (MO)",2011,3288,150381,788836,43145,473812,1573898,65540,2047710,142948,25614,375502,67508,56,18379,5085,112,819,49,6065,12186,13
44,"BJC HealthCare (MO)",2012,3270,150888,783051,44179,496924,1750464,68709,2247388,138031,26395,351079,66179,50,17959,4840,144,905,54,5943,11936,13
44,"BJC HealthCare (MO)",2013,3288,142853,756574,43568,481503,1780058,67610,2261561,127859,24204,339038,62899,67,17583,4542,149,914,11,5606,11289,12
44,"BJC HealthCare (MO)",2014,3308,142391,763792,43776,480979,1886952,69180,2367931,126524,22262,359651,66281,68,18363,4537,113,938,13,5601,11270,13
44,"BJC HealthCare (MO)",2015,3640,155725,844507,47263,545284,2363016,77595,2908300,143864,24679,413046,76294,111,21394,4379,146,1154,15,5694,11499,13
44,"BJC HealthCare (MO)",2016,3699,157231,885852,46768,569097,2416999,80278,2986096,167226,25478,416683,76833,112,21445,4422,171,1293,7,5893,11898,14
45,"RWJBarnabas Health, Inc",2015,3816,191659,1050563,44709,746600,1491543,65430,2238143,283275,47804,491708,78591,264,18763,5219,1341,1713,173,8446,17156,13
45,"RWJBarnabas Health, Inc",2016,3833,184652,1012974,41146,724330,1576067,63293,2300397,251442,43592,471949,77599,284,19662,5142,664,1571,8,8099,15768,13
46,"CHRISTUS Health (TX)",2011,4324,183011,927324,47239,902759,1977220,61270,2879979,189653,35779,466836,82400,54,17357,3471,39,946,266,6057,10833,20
46,"CHRISTUS Health (TX)",2012,4168,179496,856441,45136,856868,1546620,54523,2403488,167265,33625,434467,80274,84,15732,4021,123,829,154,5905,11116,18
46,"CHRISTUS Health (TX)",2013,3909,156841,793886,37892,643393,1501310,49912,2144703,144333,30781,396239,72681,158,14052,1854,137,801,7,3266,6223,15
46,"CHRISTUS Health (TX)",2014,3905,152530,792085,35846,610895,1477377,50822,2088272,141363,30338,414918,70982,189,14248,2205,39,769,86,3689,6977,23
46,"CHRISTUS Health (TX)",2015,4310,181203,948613,44764,782768,2154540,74620,2937308,163755,32217,505432,87344,212,18364,4636,134,2275,85,8049,15391,28
46,"CHRISTUS Health (TX)",2016,4365,183775,948847,44273,779958,2338338,76447,3118296,164936,32854,471895,87034,221,19237,3088,199,2046,92,5894,11540,24
47,"Mercy Health (Formerly Known as Catholic Health Partners) (OH)",2011,3954,193815,843156,45416,882409,2874078,92156,3756487,133418,30575,488183,101519,215,16535,1790,427,559,2314,5844,11149,23
47,"Mercy Health (Formerly Known as Catholic Health Partners) (OH)",2012,3917,192797,833259,36035,881964,2840540,85680,3722504,131439,31361,490607,101880,199,16292,3134,492,817,638,5771,11051,23
47,"Mercy Health (Formerly Known as Catholic Health Partners) (OH)",2013,3579,175994,757906,32208,736973,2476936,80953,3213909,128548,30835,417295,90320,184,14094,2276,618,601,74,4138,7891,21
47,"Mercy Health (Formerly Known as Catholic Health Partners) (OH)",2014,3808,181663,806743,32960,816949,2765789,83675,3582738,178633,42130,451441,92926,313,15757,2176,695,629,89,3589,7491,22
47,"Mercy Health (Formerly Known as Catholic Health Partners) (OH)",2015,3834,186059,800999,33102,844271,3163616,83565,4007887,185990,42010,447088,93725,367,16433,2480,634,525,33,3672,7711,22
47,"Mercy Health (Formerly Known as Catholic Health Partners) (OH)",2016,3681,189311,823721,33368,841647,3271235,78162,4112882,179648,40327,428240,92485,329,16124,2580,336,775,11,3702,7733,22
48,"Novant Health (NC)",2011,2262,119195,593060,34091,482383,1525020,72529,2007403,110325,22835,296185,53494,5,10802,4313,1359,1799,392,7863,15731,12
48,"Novant Health (NC)",2012,2255,122258,595178,34567,501472,1356180,71501,1857652,109685,22744,300122,55348,66,10327,2166,1718,399,932,5250,10531,12
48,"Novant Health (NC)",2013,2342,129976,631368,36872,547842,1405541,75708,1953383,103008,22617,330686,60531,82,11736,3346,2384,785,498,6965,14060,14
48,"Novant Health (NC)",2014,1904,128321,615777,35220,543729,1504965,73039,2048694,102290,21883,319798,58021,13,12633,3644,2683,1069,2580,9976,19965,14
48,"Novant Health (NC)",2015,2104,129514,667626,33865,566970,1646969,77909,2213939,131689,22105,330410,59065,38,10974,2661,3086,1775,1100,8622,17282,14
48,"Novant Health (NC)",2016,2070,129327,631524,27772,572414,1591714,83668,2164128,114290,23478,310929,56153,30,10740,3218,3086,1785,520,8609,17248,14
49,"Stanford Health care (CA)",2011,779,37769,218696,15372,51221,994933,19827,1046154,51149,7906,57871,10643,2,8069,1374,0,827,0,2201,4404,2
49,"Stanford Health care (CA)",2012,778,37845,220794,13062,297253,1557318,20364,1854571,63363,10087,64094,10632,135,7360,0,0,835,0,835,1805,2
49,"Stanford Health care (CA)",2013,779,38439,223827,15936,57606,1306321,20055,1363927,52169,8028,61362,11239,0,9128,1503,0,952,0,2455,4910,2
49,"Stanford Health care (CA)",2014,990,45956,270918,18477,118822,1457928,25852,1576750,65712,10009,85173,13547,21,10544,1537,0,1069,0,2606,5233,3
49,"Stanford Health care (CA)",2015,698,33090,188558,16056,101303,1377626,23212,1478929,26437,4918,82553,14340,0,9374,2303,0,163,0,2466,4932,2
49,"Stanford Health care (CA)",2016,698,33798,191930,15512,108998,1738255,26456,1847253,31336,5225,90538,15008,0,11793,2339,0,153,0,2492,4984,2
50,"Beaumont Health System (MI)",2014,3115,174675,833047,50299,492148,2832711,101797,3324859,120965,28483,491303,91127,561,17068,5631,1124,561,0,7316,15193,8
50,"Beaumont Health System (MI)",2015,3337,177934,851893,49976,530860,3073843,77294,3604703,127520,28593,514476,94654,567,18139,5171,1307,718,0,7196,14959,8
50,"Beaumont Health System (MI)",2016,3409,178615,854116,49184,553159,3237818,81021,3790977,128440,28625,509887,95105,415,19526,5479,849,690,57,7075,14565,8
51,"Memorial Sloan Kettering (NY)",2011,470,24487,140991,11318,0,1279969,8056,1279969,9350,1331,52583,8702,603,9861,98,651,0,0,749,2101,1
51,"Memorial Sloan Kettering (NY)",2012,469,24597,149367,11370,0,1301286,8321,1301286,7918,1065,57317,8852,650,11583,159,670,0,0,829,2308,1
51,"Memorial Sloan Kettering (NY)",2013,471,22326,144345,9577,0,1373083,10888,1373083,9428,1108,53881,8365,702,12141,110,724,0,0,834,2370,1
51,"Memorial Sloan Kettering (NY)",2014,478,22144,146855,9150,0,1433378,11270,1433378,12296,1388,54348,8282,732,12826,129,748,0,0,877,2486,1
51,"Memorial Sloan Kettering (NY)",2015,473,22467,151827,9191,0,1515200,12177,1515200,13912,1639,59036,8527,915,13989,167,856,0,0,1023,2961,1
51,"Memorial Sloan Kettering (NY)",2016,473,23506,161661,9786,0,1757534,15544,1757534,16390,1926,60705,8920,975,14955,124,848,0,0,972,2919,1
52,"Select Medical Holdings Corporation (PA)",2011,4792,74104,1061381,2246,34,450262,5609,450296,78124,7802,746070,45016,83,12652,2187,36,202,308,3061,5877,98
52,"Select Medical Holdings Corporation (PA)",2012,4776,70115,1063517,349,27,415292,22177,415319,55683,2677,799990,54032,24,12638,2923,1,317,101,4186,7552,98
52,"Select Medical Holdings Corporation (PA)",2013,4847,71641,1102772,337,0,694610,38507,694610,60283,3011,826801,55031,30,13274,2884,16,902,130,4483,8445,101
52,"Select Medical Holdings Corporation (PA)",2014,5051,73222,1114447,356,0,725097,56310,725097,78172,4506,804978,52678,34,13582,2785,1,271,114,3385,6590,101
52,"Select Medical Holdings Corporation (PA)",2015,5034,76751,1110476,289,0,805849,52552,805849,71681,5120,801298,54971,38,13762,2905,27,229,26,3373,6598,105
52,"Select Medical Holdings Corporation (PA)",2016,5000,78885,1090037,240,0,900039,47835,900039,90293,5413,744606,53949,39,13756,2945,63,255,31,3454,6787,101
53,"UnityPoint Health a/k/a Iowa Health System and Subsidiaries",2011,2723,118981,601760,26795,443981,2443638,73710,2887619,104067,21259,267268,54080,314,13079,3365,906,857,74,5202,10718,23
53,"UnityPoint Health a/k/a Iowa Health System and Subsidiaries",2012,2888,122539,633886,29202,458702,2513960,77460,2972662,117345,22852,285876,55245,334,13845,3134,881,1078,88,5275,10790,26
53,"UnityPoint Health a/k/a Iowa Health System and Subsidiaries",2013,2891,117511,614583,28399,451654,2574894,78053,3026548,112126,19943,276787,52580,341,14462,2986,961,1180,72,5282,10822,26
53,"UnityPoint Health a/k/a Iowa Health System and Subsidiaries",2014,2936,114650,609142,27184,461502,2531956,77811,2993458,133182,22899,275899,50872,315,14596,3014,803,1492,80,5389,11093,26
53,"UnityPoint Health a/k/a Iowa Health System and Subsidiaries",2015,3372,138377,707141,30197,542521,2779170,89970,3321691,154601,28669,324778,60702,395,16873,4115,1141,1750,31,7037,14469,28
53,"UnityPoint Health a/k/a Iowa Health System and Subsidiaries",2016,3728,144599,704468,32510,629104,3270821,102975,3899925,175905,31270,325870,64134,375,18907,3831,1022,2278,83,7214,14803,36
54,"Sanford Health (SD)",2011,2659,79167,614781,25595,196361,1787955,68773,1984316,179479,13332,202084,33357,311,11345,750,1125,234,252,2515,5187,32
54,"Sanford Health (SD)",2012,3111,85993,638440,24487,238689,2328195,79803,2566884,186980,14467,185162,32630,549,15618,864,1447,255,163,2864,6142,33
54,"Sanford Health (SD)",2013,2872,82392,653213,24611,232460,1801234,69909,2033694,205323,11928,208523,33763,619,14341,1105,1745,337,72,3235,7113,33
54,"Sanford Health (SD)",2014,2799,78373,627771,23647,232270,2924836,70318,3157106,198966,11416,194911,31395,458,12730,1021,1729,308,146,3204,6866,33
54,"Sanford Health (SD)",2015,2758,77168,631950,23020,239637,2286690,71124,2526327,210899,12103,195270,33571,438,12777,1039,1613,278,102,3032,6502,33
54,"Sanford Health (SD)",2016,2794,78944,633685,23106,238739,2394113,71243,2632852,224697,15350,194602,32947,813,13602,987,1723,424,203,3337,7487,34
55,"Michigan Medicine",2011,919,45137,274523,17784,81021,1638628,28270,1719649,54346,8722,96999,15125,0,11273,0,62,1882,0,1944,3888,1
55,"Michigan Medicine",2012,899,45412,277380,17800,87057,1882159,30675,1969216,54413,8282,98115,15525,0,12370,0,94,1956,0,2050,4100,1
55,"Michigan Medicine",2013,939,46997,284583,18751,97546,1875186,30948,1972732,53219,8342,100006,15696,0,12524,0,128,1998,0,2126,4252,1
55,"Michigan Medicine",2014,962,47988,289657,19704,94870,2034095,31879,2128965,50609,8296,101426,15906,0,13266,0,152,2079,0,2231,4462,1
55,"Michigan Medicine",2015,993,49557,293569,19898,101171,2165946,32348,2267117,51571,8353,108146,16450,0,13697,0,173,2194,0,2367,4734,1
55,"Michigan Medicine",2016,976,50322,300018,16821,104219,2268574,37521,2372793,50417,8133,110589,16732,0,14184,0,162,2289,0,2451,4902,1
56,"BayCare Health System (FL)",2011,2499,118981,554394,25681,170541,732445,40721,902986,119776,23300,262634,52180,293,9876,0,0,0,0,0,293,8
56,"BayCare Health System (FL)",2012,2843,135946,660578,32291,504344,237579,47960,741923,126569,25714,333626,61432,3,10729,3764,296,544,0,4766,9373,8
56,"BayCare Health System (FL)",2013,2852,128111,640420,29910,467553,218046,53473,685599,127045,25251,329452,50798,3,9590,3773,295,520,0,4792,9383,8
56,"BayCare Health System (FL)",2014,2905,131937,621102,29559,491062,607159,37812,1098221,123983,26520,323952,63352,4,9094,2447,295,389,0,4616,7751,8
56,"BayCare Health System (FL)",2015,3213,161907,751947,35748,623768,771840,39285,1395608,144943,30628,404480,80432,169,14220,2284,282,403,86,4200,7424,9
56,"BayCare Health System (FL)",2016,3274,176408,799375,38124,665767,792955,39587,1458722,149565,31426,417536,85544,0,14635,3234,525,844,87,4900,9590,10
57,"Allina Health (MN)",2011,2024,118371,498361,33857,271053,1002628,62509,1273681,101991,19293,217202,47853,242,6031,1560,117,1159,1,4042,7121,12
57,"Allina Health (MN)",2012,1995,117541,477788,33062,290698,1050449,63761,1341147,91010,20496,221005,47808,261,6515,1223,181,1289,0,3919,6873,13
57,"Allina Health (MN)",2013,1955,114952,458658,33055,322574,1196018,63672,1518592,92176,21071,215391,46496,223,7050,1138,619,1988,0,4965,8933,13
57,"Allina Health (MN)",2014,1939,112087,459887,31830,340069,1242732,65116,1582801,96765,21960,215112,46287,313,6935,1379,565,1868,0,5066,9191,14
57,"Allina Health (MN)",2015,1910,111101,458228,31770,346672,1296215,65094,1642887,94843,22413,221470,46399,229,6696,1088,598,1603,10,4597,8125,14
57,"Allina Health (MN)",2016,1859,110432,441830,31990,340758,1154393,51209,1495151,95036,21883,219314,45933,268,6673,905,597,1170,248,4349,7537,12
58,"Houston Methodist dba The Methodist Hospital System (TX)",2011,1636,77425,399453,25107,200171,570313,34130,770484,34794,6964,208183,34524,15,9409,3208,64,804,0,4076,8167,5
58,"Houston Methodist dba The Methodist Hospital System (TX)",2012,1716,80750,421108,26428,226014,596061,38064,822075,37221,7962,220639,35778,15,10089,3513,67,687,1,4268,8551,5
58,"Houston Methodist dba The Methodist Hospital System (TX)",2013,1985,95176,478638,29391,283438,776474,44007,1059912,43151,9765,248501,42066,0,11099,3895,60,972,1,5369,10297,7
58,"Houston Methodist dba The Methodist Hospital System (TX)",2014,1994,96378,495865,28229,289266,801751,44264,1091017,41951,9474,260015,43030,316,13149,3425,399,1019,14,5368,10541,7
58,"Houston Methodist dba The Methodist Hospital System (TX)",2015,2029,100700,528237,28868,309592,827974,46683,1137566,44018,9485,274689,45435,368,13391,4000,448,1123,36,5607,11582,7
58,"Houston Methodist dba The Methodist Hospital System (TX)",2016,2140,104171,562681,31242,324108,827420,49796,1151528,44091,9922,305024,48755,457,15187,4039,538,1268,29,5874,12205,8
59,"Adventist Health West (CA)",2011,2219,126103,577623,25706,467256,2207913,46963,2675169,151484,27532,263037,54297,140,12866,469,129,445,444,2164,3791,18
59,"Adventist Health West (CA)",2012,2359,127458,572220,26957,484347,2152749,48577,2637096,183538,36662,251272,52651,156,13113,338,138,448,472,2604,4156,18
59,"Adventist Health West (CA)",2013,2462,123063,549759,29201,553390,2494158,44864,3047548,170460,37577,237518,47877,79,13606,1478,132,684,719,3594,6686,18
59,"Adventist Health West (CA)",2014,2648,130288,573376,31600,627983,2793964,55336,3421947,181206,40588,253716,50536,113,14677,2529,154,846,282,4320,8244,19
59,"Adventist Health West (CA)",2015,2653,137677,579314,33471,651464,3094280,65375,3745744,194453,46147,250483,54352,145,16082,1323,133,1096,931,4300,7928,19
